StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent form,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q16
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Assessment:


	
	I have read the information sheet and was able to ask any additional question to the researcher.
	
	
	I understand I may ask questions about the study at any time.
	
	
	I understand I have the right to withdraw from the study at any time without giving a reason.
	
	
	I understand that at any time I can refuse to answer any question without any consequences.
	
	
	I understand that I will not benefit directly from participating in this research.
	

 

Confidentiality and Data Use:


	I understand that the information provided will be used only for this research and publications directly related to this research project.
	
	I understand that data will be retained on the Y-drive (a specifically safe location) of the University of Groningen server for 5 years, in correspondence with the university GDPR legislation.",Do you live in or frequently visit the city of Groningen?,How many CCTV cameras for surveillance do you think the municipality of Groningen currently owns?,Do you think the municipality currently uses AI  (for example for facial recognition or automated crime detection) with CCTV surveillance cameras?,Do you think the municipality should use AI with its CCTV surveillance system?,Do you think there should be more or fewer CCTV surveillance cameras in the city centre of Groningen?,To what extent are you concerned about privacy related to CCTV surveillance cameras in Groningen?,Do you think CCTV surveillance cameras help improve safety in the city centre?,Do you feel safer knowing there are CCTV surveillance cameras installed when traveling outside?,Do you know how the data collected from the CCTV surveillance cameras is stored?,"All previous questions were about CCTV cameras with surveillance purposes, this question is about all municipality owned cameras. For what purpose do you think the municipality uses most cameras?",Which political party do you most align with? (Optional),Is there anything you would like to add about your opinion on CCTV surveillance? (Optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}"
2025-04-07 11:54:16,2025-04-07 12:01:49,IP Address,100,453,True,2025-04-07 12:01:50,R_3ejZnMcSlH2zP5N,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,90,Probably not,Probably not,Somewhat more,Slightly concerned,Probably not,"Yes, definitely",Somewhat,Surveillance,GroenLinks - PVDA,Nee.
2025-04-07 12:08:45,2025-04-07 12:11:33,IP Address,100,168,True,2025-04-07 12:11:34,R_7ExUsiFwSR8ANWj,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,26,Probably not,Probably,Somewhat more,Slightly concerned,"Yes, definitely",Probably,Somewhat,Crowd size monitoring,GroenLinks - PVDA,-
2025-04-07 12:10:55,2025-04-07 12:12:32,IP Address,100,96,True,2025-04-07 12:12:33,R_1qaIoV3PhMZIGxr,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,12,"No, definitely not",Probably,Significantly fewer,Slightly concerned,Probably,"Yes, definitely","Yes, definitely",Bridge control,VVD,
2025-04-07 12:45:18,2025-04-07 12:47:44,IP Address,100,146,True,2025-04-07 12:47:45,R_1uyYZZofVnEvmOS,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,about 10,"No, definitely not","No, definitely not",Significantly more,Not concerned at all,Probably,Probably,Not at all,Surveillance,Volt,
2025-04-07 13:03:34,2025-04-07 13:04:52,IP Address,100,78,True,2025-04-07 13:04:53,R_1FKQ85bzg5r9vRd,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",No,100,Probably not,"No, definitely not",Significantly more,Moderately concerned,"Yes, definitely",I don’t know,Not at all,Surveillance,CDA,
2025-04-07 16:01:23,2025-04-07 16:02:37,IP Address,100,74,True,2025-04-07 16:02:37,R_2hI7UAnWaHZAXsd,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,14,Probably not,Probably,Significantly more,Not concerned at all,"Yes, definitely","Yes, definitely",Somewhat,"Traffic ",VVD,
2025-04-07 22:25:55,2025-04-07 22:27:59,IP Address,100,124,True,2025-04-07 22:27:59,R_2ihdCKF3xuCTXMw,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,18,Probably,"Yes, definitely",Significantly more,Slightly concerned,"Yes, definitely","Yes, definitely",Somewhat,Crowd size monitoring,GroenLinks - PVDA,
2025-04-07 23:37:42,2025-04-07 23:40:12,IP Address,100,150,True,2025-04-07 23:40:12,R_8Wigh4R8RgazkD7,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,20,"No, definitely not",Probably,Not sure,Slightly concerned,"Yes, definitely","No, definitely not",Not at all,"Traffic ",Volt,
2025-04-08 06:56:55,2025-04-08 06:59:35,IP Address,100,159,True,2025-04-08 06:59:35,R_89I3x3jZd7OcgrD,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,1000,Probably,Probably not,Not sure,Not concerned at all,Probably,Probably,Not at all,Surveillance,GroenLinks - PVDA,
2025-04-08 06:57:50,2025-04-08 07:01:09,IP Address,100,198,True,2025-04-08 07:01:09,R_2kXy6cxCBplQLBf,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,4000,Probably,I don’t know,Not sure,Slightly concerned,Probably,"Yes, definitely",Somewhat,"Traffic ",GroenLinks - PVDA,
2025-04-08 07:02:38,2025-04-08 07:04:16,IP Address,100,97,True,2025-04-08 07:04:16,R_8azVaP396jv5NAu,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,20,Probably not,Probably not,Somewhat more,Slightly concerned,"Yes, definitely","Yes, definitely",Not at all,Surveillance,PVV,
2025-04-08 07:01:06,2025-04-08 07:07:13,IP Address,100,367,True,2025-04-08 07:07:14,R_2rk0RLmbHeJXIQN,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,About 500?,Probably not,Probably not,Somewhat more,Slightly concerned,"Yes, definitely","Yes, definitely",Somewhat,Surveillance,VVD,"Personally I think CCTV surveillance is often seen as something negative in our western society, but if we look at societies in for example countries like South Korea where CCTV is standardized, we see that the camera's create a safe environment, and can be used in positive ways, to for example see who is behind a crime. If you have very few CCTV cameras I think it is easier to dismantle all of them as opposed to when there is more. I do have to say that you can go overboard with it and in my opinion it is not needed to have cameras at every street corner"
2025-04-08 07:05:29,2025-04-08 07:08:37,IP Address,100,187,True,2025-04-08 07:08:37,R_25Fq9Xr15VveAcf,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,0,Probably not,Probably not,Somewhat more,Not concerned at all,Probably not,Probably,Not at all,"Traffic ",SP,
2025-04-08 07:05:39,2025-04-08 07:08:48,IP Address,100,188,True,2025-04-08 07:08:48,R_2PhimChdTBp8zTb,anonymous,NL,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,100,"No, definitely not",Probably,Somewhat more,Very concerned,Probably,Probably,"Yes, definitely",Crowd size monitoring,Partij voor de Dieren,
2025-04-08 07:07:48,2025-04-08 07:09:34,IP Address,100,106,True,2025-04-08 07:09:34,R_2MHkzq0wSeKeXyV,anonymous,EN,"I am above 18 years of age, have read and understood all the above, and agree to participate in the research study",Yes,15,"No, definitely not","No, definitely not",Somewhat more,Slightly concerned,"Yes, definitely",Probably not,"Yes, definitely",Surveillance,,
