FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53fe;1;2022;;Beeldsensor;234111.95;581679.639;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.57152862;53.21588476;POINT (234111.95029926885 581679.6386981868)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53fd;2;2022;;Beeldsensor;234049.442;581684.507;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.57059425;53.21593772;POINT (234049.4418992678 581684.5066981872)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53fc;3;2022;;Beeldsensor;233937.885;581545.054;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.56889031;53.21470133;POINT (233937.884699267 581545.0538981836)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53fb;4;2022;;Beeldsensor;233729.519;581323.168;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.56571741;53.21273858;POINT (233729.51919926523 581323.1680981886)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53fa;5;2022;;Beeldsensor;233638.514;581531.98;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.56440653;53.21462791;POINT (233638.51399926317 581531.9801981862)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53f9;6;2022;;Beeldsensor;233603.592;581785.547;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.56394589;53.21691106;POINT (233603.59189926385 581785.5465981843)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53f8;7;2022;;Beeldsensor;233557.726;581794.147;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.5632615;53.21699505;POINT (233557.7259992649 581794.1467981855)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53f7;8;2022;;Beeldsensor;233434.462;581763.657;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.5614091;53.21673919;POINT (233434.46169926407 581763.6571981878)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53f6;9;2022;;Beeldsensor;233460.522;581749.845;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.56179578;53.21661129;POINT (233460.52189926253 581749.8449981858)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-53f5;10;2022;;Beeldsensor;233316.149;581741.246;;;Dir. Stadsontwikkeling afd. O&U/Projectmanagement;Monitoring drukte fietsers en voetgangers;N.v.t;Sensoren maken geen beelden, slaan geen beelden op en sturen geen beelden door;N.v.t.;Nee;Projectteam;;Voldoet aan AVG;2020;Oktober 2024;6.5596328;53.21655516;POINT (233316.148699264 581741.2462981894)
